,Feature,Importance
0,Unnamed: 0,0.0885917076477367
1,HomePlanet,0.423259424829479
2,CryoSleep,0.7003879520314721
3,Destination,0.0933728285252786
4,Age,0.07620023284702486
5,VIP,0.02617471755080532
6,RoomService,1.173280462495715
7,FoodCourt,1.1384148278109363
8,ShoppingMall,0.2877533168568775
9,Spa,1.878004198443136
10,VRDeck,1.6461913210441992
11,Side,0.2965368691186326
